Index,Time_s,Fluence_(ions_cm^-2),Counts,Wavelength_nm
0,0,0,2261.24065,388.334
1,0.2,3e+10,9326.62059,388.334
2,0.4,6e+10,3715.60759,388.334
3,0.6,9e+10,2041.05095,388.334
4,0.8,1.2e+11,1444.93659,388.334
5,1,1.5e+11,945.873172,388.334
6,1.2,1.8e+11,729.822764,388.334
7,1.4,2.1e+11,596.607588,388.334
8,1.6,2.4e+11,465.037941,388.334
9,1.8,2.7e+11,438.151762,388.334
10,2,3e+11,348.151762,388.334
11,2.2,3.3e+11,303.898646,388.334
12,2.4,3.6e+11,287.27859,388.334
13,2.6,3.9e+11,260.215176,388.334
14,2.8,4.2e+11,225.253117,388.334
15,3,4.5e+11,236.506234,388.334
16,3.2,4.8e+11,179.607588,388.334
17,3.4,5.1e+11,165.430352,388.334
18,3.6,5.4e+11,180.746883,388.334
19,3.8,5.7e+11,170.328998,388.334
20,4,6e+11,142.037941,388.334
21,4.2,6.3e+11,120.645529,388.334
22,4.4,6.6e+11,129.075881,388.334
23,4.6,6.9e+11,135.620056,388.334
24,4.8,7.2e+11,102.151762,388.334
25,5,7.5e+11,107.822764,388.334
26,5.2,7.8e+11,110.139295,388.334
27,5.4,8.1e+11,111.645529,388.334
28,5.6,8.4e+11,92.2531169,388.334
29,5.8,8.7e+11,79.4303525,388.334
30,6,9e+11,92.7972912,388.334
31,6.2,9.3e+11,98.1138218,388.334
32,6.4,9.6e+11,85,388.334
33,6.6,9.9e+11,73.7593506,388.334
34,6.8,1.02e+12,72.1138218,388.334
35,7,1.05e+12,76.5696475,388.334
36,7.2,1.08e+12,70.3544713,388.334
37,7.4,1.11e+12,69.0758812,388.334
38,7.6,1.14e+12,68.5062337,388.334
39,7.8,1.17e+12,61.860705,388.334
40,8,1.2e+12,66.5062337,388.334
41,8.2,1.23e+12,64.2151762,388.334
42,8.4,1.26e+12,61.5062337,388.334
43,8.6,1.29e+12,53.2151762,388.334
44,8.8,1.32e+12,54.8227644,388.334
45,9,1.35e+12,52.8227644,388.334
46,9.2,1.38e+12,62.0758812,388.334
47,9.4,1.41e+12,50.6834693,388.334
48,9.6,1.44e+12,52.0379406,388.334
49,9.8,1.47e+12,51.1772356,388.334
50,10,1.5e+12,50.3544713,388.334
51,10.2,1.53e+12,47.4303525,388.334
52,10.4,1.56e+12,49.4303525,388.334
53,10.6,1.59e+12,52.2910575,388.334
54,10.8,1.62e+12,41,388.334
55,11,1.65e+12,51.860705,388.334
56,11.2,1.68e+12,50.7848238,388.334
57,11.4,1.71e+12,40.6455287,388.334
58,11.6,1.74e+12,50.2910575,388.334
59,11.8,1.77e+12,48.4303525,388.334
60,12,1.8e+12,44.3289981,388.334
61,12.2,1.83e+12,19.2151762,388.334
62,12.4,1.86e+12,45.2910575,388.334
63,12.6,1.89e+12,44.4682931,388.334
64,12.8,1.92e+12,43.0758812,388.334
65,13,1.95e+12,28.5062337,388.334
66,13.2,1.98e+12,34.0758812,388.334
67,13.4,2.01e+12,32.4682931,388.334
68,13.6,2.04e+12,40.0379406,388.334
69,13.8,2.07e+12,30.0758812,388.334
70,14,2.1e+12,41.7848238,388.334
71,14.2,2.13e+12,34.5062337,388.334
72,14.4,2.16e+12,43.2910575,388.334
73,14.6,2.19e+12,25.4303525,388.334
74,14.8,2.22e+12,34.6455287,388.334
75,15,2.25e+12,25.3544713,388.334
76,15.2,2.28e+12,25.860705,388.334
77,15.4,2.31e+12,25.0379406,388.334
78,15.6,2.34e+12,27.6834693,388.334
79,15.8,2.37e+12,41.3669387,388.334
80,16,2.4e+12,25.6075881,388.334
81,16.2,2.43e+12,27.139295,388.334
82,16.4,2.46e+12,28.4303525,388.334
83,16.6,2.49e+12,24.4682931,388.334
84,16.8,2.52e+12,28.0758812,388.334
85,17,2.55e+12,29,388.334
86,17.2,2.58e+12,29.5441743,388.334
87,17.4,2.61e+12,28.7214099,388.334
88,17.6,2.64e+12,30.2910575,388.334
89,17.8,2.67e+12,23.7214099,388.334
90,18,2.7e+12,29.1138218,388.334
91,18.2,2.73e+12,16.5696475,388.334
92,18.4,2.76e+12,19.4682931,388.334
93,18.6,2.79e+12,18.3924119,388.334
94,18.8,2.82e+12,31.2151762,388.334
95,19,2.85e+12,22.1517624,388.334
96,19.2,2.88e+12,25.7593506,388.334
97,19.4,2.91e+12,25.8227644,388.334
98,19.6,2.94e+12,20.860705,388.334
99,19.8,2.97e+12,25.4682931,388.334
100,20,3e+12,28.5696475,388.334
101,20.2,3.03e+12,15.860705,388.334
102,20.4,3.06e+12,21.4682931,388.334
103,20.6,3.09e+12,27.6455287,388.334
104,20.8,3.12e+12,25.2151762,388.334
105,21,3.15e+12,29.5821149,388.334
106,21.2,3.18e+12,11.8227644,388.334
107,21.4,3.21e+12,13.1138218,388.334
108,21.6,3.24e+12,17.0379406,388.334
