Index,Time_s,Counts,Wavelength_nm
0,0,2261.24065,388.334
1,0.2,9326.62059,388.334
2,0.4,3715.60759,388.334
3,0.6,2041.05095,388.334
4,0.8,1444.93659,388.334
5,1,945.873172,388.334
6,1.2,729.822764,388.334
7,1.4,596.607588,388.334
8,1.6,465.037941,388.334
9,1.8,438.151762,388.334
10,2,348.151762,388.334
11,2.2,303.898646,388.334
12,2.4,287.27859,388.334
13,2.6,260.215176,388.334
14,2.8,225.253117,388.334
15,3,236.506234,388.334
16,3.2,179.607588,388.334
17,3.4,165.430352,388.334
18,3.6,180.746883,388.334
19,3.8,170.328998,388.334
20,4,142.037941,388.334
21,4.2,120.645529,388.334
22,4.4,129.075881,388.334
23,4.6,135.620056,388.334
24,4.8,102.151762,388.334
25,5,107.822764,388.334
26,5.2,110.139295,388.334
27,5.4,111.645529,388.334
28,5.6,92.2531169,388.334
29,5.8,79.4303525,388.334
30,6,92.7972912,388.334
31,6.2,98.1138218,388.334
32,6.4,85,388.334
33,6.6,73.7593506,388.334
34,6.8,72.1138218,388.334
35,7,76.5696475,388.334
36,7.2,70.3544713,388.334
37,7.4,69.0758812,388.334
38,7.6,68.5062337,388.334
39,7.8,61.860705,388.334
40,8,66.5062337,388.334
41,8.2,64.2151762,388.334
42,8.4,61.5062337,388.334
43,8.6,53.2151762,388.334
44,8.8,54.8227644,388.334
45,9,52.8227644,388.334
46,9.2,62.0758812,388.334
47,9.4,50.6834693,388.334
48,9.6,52.0379406,388.334
49,9.8,51.1772356,388.334
50,10,50.3544713,388.334
51,10.2,47.4303525,388.334
52,10.4,49.4303525,388.334
53,10.6,52.2910575,388.334
54,10.8,41,388.334
55,11,51.860705,388.334
56,11.2,50.7848238,388.334
57,11.4,40.6455287,388.334
58,11.6,50.2910575,388.334
59,11.8,48.4303525,388.334
60,12,44.3289981,388.334
61,12.2,19.2151762,388.334
62,12.4,45.2910575,388.334
63,12.6,44.4682931,388.334
64,12.8,43.0758812,388.334
65,13,28.5062337,388.334
66,13.2,34.0758812,388.334
67,13.4,32.4682931,388.334
68,13.6,40.0379406,388.334
69,13.8,30.0758812,388.334
70,14,41.7848238,388.334
71,14.2,34.5062337,388.334
72,14.4,43.2910575,388.334
73,14.6,25.4303525,388.334
74,14.8,34.6455287,388.334
75,15,25.3544713,388.334
76,15.2,25.860705,388.334
77,15.4,25.0379406,388.334
78,15.6,27.6834693,388.334
79,15.8,41.3669387,388.334
80,16,25.6075881,388.334
81,16.2,27.139295,388.334
82,16.4,28.4303525,388.334
83,16.6,24.4682931,388.334
84,16.8,28.0758812,388.334
85,17,29,388.334
86,17.2,29.5441743,388.334
87,17.4,28.7214099,388.334
88,17.6,30.2910575,388.334
89,17.8,23.7214099,388.334
90,18,29.1138218,388.334
91,18.2,16.5696475,388.334
92,18.4,19.4682931,388.334
93,18.6,18.3924119,388.334
94,18.8,31.2151762,388.334
95,19,22.1517624,388.334
96,19.2,25.7593506,388.334
97,19.4,25.8227644,388.334
98,19.6,20.860705,388.334
99,19.8,25.4682931,388.334
100,20,28.5696475,388.334
101,20.2,15.860705,388.334
102,20.4,21.4682931,388.334
103,20.6,27.6455287,388.334
104,20.8,25.2151762,388.334
105,21,29.5821149,388.334
106,21.2,11.8227644,388.334
107,21.4,13.1138218,388.334
108,21.6,17.0379406,388.334
